Contracts,Closing Direction,Qty,Entry Price,Exit Price,Closed P&L,Exit Type,Trade Time(UTC+0)
BTCUSDT,Close Long,1.289,31238.87,29200.00,-2658.85107593,Trade,2022-05-11 12:51:28
BTCUSDT,Close Long,1.261,31016.00,30859.56,-232.31326537,Trade,2022-05-10 14:53:07
NEARUSDT,Close Short,1100,12.468,9.170,3610.47166973,Trade,2022-05-10 00:10:30
KNCUSDT,Close Long,5200,2.3770,2.3843,38.29397998,Trade,2022-05-09 10:27:04
ADAUSDT,Close Short,32182,0.8263,0.8612,-1144.66486856,Trade,2022-05-04 18:48:40
BTCUSDT,Close Short,0.922,39535.50,39350.00,196.44038489,Trade,2022-05-04 16:22:35
SANDUSDT,Close Short,6840,2.6900,2.2846,2720.18287357,Trade,2022-05-04 11:02:21
BCHUSDT,Close Short,221.27,306.90,290.02,3803.48011292,Trade,2022-05-04 11:02:18
ALGOUSDT,Close Short,22651.7,0.6710,0.7190,-1098.44049271,Trade,2022-05-03 03:44:17
FTTUSDT,Close Short,662.6,39.03,38.97,25.53542249,Trade,2022-04-30 00:31:56
ALICEUSDT,Close Short,5000,6.250,6.535,-1438.6552708,Trade,2022-04-29 07:37:46
LTCUSDT,Close Short,290,111.46,97.16,4163.87640019,Trade,2022-04-26 23:18:13
LUNAUSDT,Close Short,207.6,88.125,94.231,-1295.5669953,Trade,2022-04-25 16:13:35
DOGEUSDT,Close Short,200000,0.1358,0.1390,-659.396,Trade,2022-04-25 11:59:05
MANAUSDT,Close Short,20000,1.9995,2.0203,-452.77972293,Trade,2022-04-24 22:36:01
CRVUSDT,Close Short,16168.2,2.288,2.411,-1993.9353762,Trade,2022-04-22 18:19:38
KNCUSDT,Close Short,5469.9,4.5240,4.7631,-1326.54404269,Trade,2022-04-21 15:30:40
LUNAUSDT,Close Short,325,94.750,98.589,-1314.5639992,Trade,2022-04-21 12:48:19
ETHUSDT,Close Short,14.65,3035.00,3104.05,-1037.67989943,Trade,2022-04-19 14:00:55
DOTUSDT,Close Short,2200,18.235,18.800,-1281.86502184,Trade,2022-04-19 14:00:03
TLMUSDT,Close Short,144102,0.1099,0.0985,1657.98306504,Trade,2022-04-18 21:23:35
LINKUSDT,Close Short,2007.9,15.294,13.972,2710.64159765,Trade,2022-04-18 21:23:33
UNIUSDT,Close Short,1961.1,9.925,9.913,40.45411659,Trade,2022-04-15 04:04:01
FILUSDT,Close Short,813.6,21.62,21.49,91.4795214,Trade,2022-04-09 12:19:45
ADAUSDT,Close Short,9969,1.0296,1.0355,-68.93739782,Trade,2022-04-09 12:19:43
BTCUSDT,Close Long,2.574,40830.75,43484.31,6472.29324288,Trade,2022-04-06 23:05:16
LOOKSUSDT,Close Long,3000,2.503,2.245,-1043.00989058,Liquidation,2022-04-04 08:52:21
LTCUSDT,Close Short,130,110.05,109.90,13.54685749,Trade,2022-03-16 20:35:27
BTCUSDT,Close Long,1.687,39694.50,39280.00,-814.46417052,Trade,2022-03-16 00:00:17
ADAUSDT,Close Short,11830,0.7871,0.8039,-212.71481264,Trade,2022-03-14 23:58:10
COMPUSDT,Close Short,100,105.80,101.49,433.81517122,Trade,2022-03-14 23:58:10
AXSUSDT,Close Short,180,49.565,47.889,168.30794969,Trade,2022-03-14 23:58:10
SOLUSDT,Close Short,119.6,81.925,81.250,85.58802642,Trade,2022-03-14 23:58:10
FILUSDT,Close Short,513.7,17.22,17.49,-138.9670989,Trade,2022-03-14 23:58:10
SANDUSDT,Close Short,3710,2.7809,2.7533,94.64055168,Trade,2022-03-14 23:15:54
MANAUSDT,Close Short,3600,2.4664,2.5280,-235.78089781,Trade,2022-03-09 11:04:16
ILVUSDT,Close Short,29.93,518.0,541.7,-786.67388098,Trade,2022-03-09 11:04:03
YFIUSDT,Close Short,0.45,19860,20378,-245.96677537,Trade,2022-03-09 11:03:57
THETAUSDT,Close Short,4373,2.750,3.087,-1716.15198871,Liquidation,2022-03-09 07:02:10
LUNAUSDT,Close Short,150,83.500,94.590,-1801.90485738,Liquidation,2022-03-09 06:17:44
FILUSDT,Close Short,1060.1,18.26,18.06,211.18017826,Trade,2022-03-08 19:49:47
ADAUSDT,Close Short,21176,0.8253,0.8038,419.49764532,Trade,2022-03-08 19:49:10
GALAUSDT,Close Short,45000,0.22358,0.22403,-32.36446859,Trade,2022-03-08 10:48:20
RUNEUSDT,Close Short,1800,4.796,4.911,-217.49256694,Trade,2022-03-06 09:26:35
LUNAUSDT,Close Short,100,75.892,82.210,-676.55799272,Trade,2022-02-28 15:30:18
UNIUSDT,Close Short,900,9.800,10.140,-307.59559916,Trade,2022-02-28 15:30:18
FTMUSDT,Close Short,4200,1.7320,1.7015,114.32195039,Trade,2022-02-28 15:30:18
LINKUSDT,Close Short,600,14.289,14.607,-201.27297313,Trade,2022-02-28 15:30:18
BTCUSDT,Close Short,0.889,37416.61,40563.54,-2824.42515292,Trade,2022-02-28 15:18:38
XRPUSDT,Close Short,11500,0.6690,0.7150,-533.2435,Trade,2022-02-24 20:17:52
FILUSDT,Close Short,500,17.08,18.71,-828.7926377,Trade,2022-02-24 20:17:32
LUNAUSDT,Close Short,141,56.350,63.270,-1141.74102443,Liquidation,2022-02-24 20:02:51
