,Symbol,Type[buy/sell],Size / Quantity,Entry Price,Closing Price,Net Profit,Exit Type,Closing Time
0,BTCUSDT,Close Long,1.289,31238.87,29200.0,-2658.85107593,Trade,2022-05-11 12:51:28
1,BTCUSDT,Close Long,1.261,31016.0,30859.56,-232.31326537,Trade,2022-05-10 14:53:07
2,NEARUSDT,Close Short,1100.0,12.468,9.17,3610.47166973,Trade,2022-05-10 00:10:30
3,KNCUSDT,Close Long,5200.0,2.377,2.3843,38.29397998,Trade,2022-05-09 10:27:04
4,ADAUSDT,Close Short,32182.0,0.8263,0.8612,-1144.66486856,Trade,2022-05-04 18:48:40
5,BTCUSDT,Close Short,0.922,39535.5,39350.0,196.44038489,Trade,2022-05-04 16:22:35
6,SANDUSDT,Close Short,6840.0,2.69,2.2846,2720.18287357,Trade,2022-05-04 11:02:21
7,BCHUSDT,Close Short,221.27,306.9,290.02,3803.48011292,Trade,2022-05-04 11:02:18
8,ALGOUSDT,Close Short,22651.7,0.671,0.719,-1098.44049271,Trade,2022-05-03 03:44:17
9,FTTUSDT,Close Short,662.6,39.03,38.97,25.53542249,Trade,2022-04-30 00:31:56
10,ALICEUSDT,Close Short,5000.0,6.25,6.535,-1438.6552708,Trade,2022-04-29 07:37:46
11,LTCUSDT,Close Short,290.0,111.46,97.16,4163.87640019,Trade,2022-04-26 23:18:13
12,LUNAUSDT,Close Short,207.6,88.125,94.231,-1295.5669953,Trade,2022-04-25 16:13:35
13,DOGEUSDT,Close Short,200000.0,0.1358,0.139,-659.396,Trade,2022-04-25 11:59:05
14,MANAUSDT,Close Short,20000.0,1.9995,2.0203,-452.77972293,Trade,2022-04-24 22:36:01
15,CRVUSDT,Close Short,16168.2,2.288,2.411,-1993.9353762,Trade,2022-04-22 18:19:38
16,KNCUSDT,Close Short,5469.9,4.524,4.7631,-1326.54404269,Trade,2022-04-21 15:30:40
17,LUNAUSDT,Close Short,325.0,94.75,98.589,-1314.5639992,Trade,2022-04-21 12:48:19
18,ETHUSDT,Close Short,14.65,3035.0,3104.05,-1037.67989943,Trade,2022-04-19 14:00:55
19,DOTUSDT,Close Short,2200.0,18.235,18.8,-1281.86502184,Trade,2022-04-19 14:00:03
20,TLMUSDT,Close Short,144102.0,0.1099,0.0985,1657.98306504,Trade,2022-04-18 21:23:35
21,LINKUSDT,Close Short,2007.9,15.294,13.972,2710.64159765,Trade,2022-04-18 21:23:33
22,UNIUSDT,Close Short,1961.1,9.925,9.913,40.45411659,Trade,2022-04-15 04:04:01
23,FILUSDT,Close Short,813.6,21.62,21.49,91.4795214,Trade,2022-04-09 12:19:45
24,ADAUSDT,Close Short,9969.0,1.0296,1.0355,-68.93739782,Trade,2022-04-09 12:19:43
25,BTCUSDT,Close Long,2.574,40830.75,43484.31,6472.29324288,Trade,2022-04-06 23:05:16
26,LOOKSUSDT,Close Long,3000.0,2.503,2.245,-1043.00989058,Liquidation,2022-04-04 08:52:21
27,LTCUSDT,Close Short,130.0,110.05,109.9,13.54685749,Trade,2022-03-16 20:35:27
28,BTCUSDT,Close Long,1.687,39694.5,39280.0,-814.46417052,Trade,2022-03-16 00:00:17
29,ADAUSDT,Close Short,11830.0,0.7871,0.8039,-212.71481264,Trade,2022-03-14 23:58:10
30,COMPUSDT,Close Short,100.0,105.8,101.49,433.81517122,Trade,2022-03-14 23:58:10
31,AXSUSDT,Close Short,180.0,49.565,47.889,168.30794969,Trade,2022-03-14 23:58:10
32,SOLUSDT,Close Short,119.6,81.925,81.25,85.58802642,Trade,2022-03-14 23:58:10
33,FILUSDT,Close Short,513.7,17.22,17.49,-138.9670989,Trade,2022-03-14 23:58:10
34,SANDUSDT,Close Short,3710.0,2.7809,2.7533,94.64055168,Trade,2022-03-14 23:15:54
35,MANAUSDT,Close Short,3600.0,2.4664,2.528,-235.78089781,Trade,2022-03-09 11:04:16
36,ILVUSDT,Close Short,29.93,518.0,541.7,-786.67388098,Trade,2022-03-09 11:04:03
37,YFIUSDT,Close Short,0.45,19860.0,20378.0,-245.96677537,Trade,2022-03-09 11:03:57
38,THETAUSDT,Close Short,4373.0,2.75,3.087,-1716.15198871,Liquidation,2022-03-09 07:02:10
39,LUNAUSDT,Close Short,150.0,83.5,94.59,-1801.90485738,Liquidation,2022-03-09 06:17:44
40,FILUSDT,Close Short,1060.1,18.26,18.06,211.18017826,Trade,2022-03-08 19:49:47
41,ADAUSDT,Close Short,21176.0,0.8253,0.8038,419.49764532,Trade,2022-03-08 19:49:10
42,GALAUSDT,Close Short,45000.0,0.22358,0.22403,-32.36446859,Trade,2022-03-08 10:48:20
43,RUNEUSDT,Close Short,1800.0,4.796,4.911,-217.49256694,Trade,2022-03-06 09:26:35
44,LUNAUSDT,Close Short,100.0,75.892,82.21,-676.55799272,Trade,2022-02-28 15:30:18
45,UNIUSDT,Close Short,900.0,9.8,10.14,-307.59559916,Trade,2022-02-28 15:30:18
46,FTMUSDT,Close Short,4200.0,1.732,1.7015,114.32195039,Trade,2022-02-28 15:30:18
47,LINKUSDT,Close Short,600.0,14.289,14.607,-201.27297313,Trade,2022-02-28 15:30:18
48,BTCUSDT,Close Short,0.889,37416.61,40563.54,-2824.42515292,Trade,2022-02-28 15:18:38
49,XRPUSDT,Close Short,11500.0,0.669,0.715,-533.2435,Trade,2022-02-24 20:17:52
50,FILUSDT,Close Short,500.0,17.08,18.71,-828.7926377,Trade,2022-02-24 20:17:32
51,LUNAUSDT,Close Short,141.0,56.35,63.27,-1141.74102443,Liquidation,2022-02-24 20:02:51
